"ID"	"Carcinoma Ecotype"
"SAMbc8dc3a7b54e"	"CE8"
"SAM7b40007f4aa4"	"CE8"
"SAM7edacb3deb65"	"CE8"
"SAM9725303dce0c"	"CE8"
"SAM3a1c9632ff7b"	"CE8"
"SAMe7bf6c015192"	"CE9"
"SAM9cafb905b36a"	"CE9"
"SAM032c642382a7"	"CE9"
"SAM8884fe446d20"	"CE9"
"SAM2dc3f04e45e9"	"CE9"
"SAM714285adf612"	"CE9"
"SAM560f23d6a3ad"	"CE9"
"SAM73663ee4a96e"	"CE9"
"SAMb0d11db9aa79"	"CE9"
"SAM6083aac8db99"	"CE9"
"SAMd7d57ee3a863"	"CE9"
"SAM4581bac493af"	"CE9"
"SAM9e11ec6bea80"	"CE9"
"SAM203dcf14f927"	"CE9"
"SAMd3601288319e"	"CE9"
"SAMfb7aec7cb0e2"	"CE9"
"SAMbda79f955628"	"CE9"
"SAM47fc46c3d6be"	"CE9"
"SAMaf42c1541269"	"CE9"
"SAM6f2a102a99df"	"CE9"
"SAM18b9351e265a"	"CE9"
"SAMd5ab7fbfab4e"	"CE9"
"SAM31d9176e11fb"	"CE9"
"SAMb8101c538753"	"CE9"
"SAMbe25e2c88f3e"	"CE9"
"SAM7d2dfba6cd84"	"CE10"
"SAM52e3fa3ad574"	"CE10"
"SAMcabb6d58ff55"	"CE10"
"SAM716f54e468f4"	"CE10"
"SAM31f41dd0d6ca"	"CE10"
"SAMae4da274eded"	"CE10"
"SAMa913c6139ec8"	"CE10"
"SAM75142fcab9df"	"CE10"
"SAM34430ef08e5b"	"CE10"
"SAM4b0175e8db6e"	"CE10"
"SAM3cb94b0d5297"	"CE10"
"SAMcb132b0cdd2c"	"CE10"
"SAMdcae54fcd7fa"	"CE10"
"SAM3330c03fdf00"	"CE10"
"SAMb15ad09d6e24"	"CE10"
"SAM0571f17f4045"	"CE10"
"SAMdee1011782cd"	"CE10"
"SAMd3bd67996035"	"CE10"
"SAMc919aebc7fdd"	"CE10"
"SAM957378bd907f"	"CE10"
"SAM5fe7a81a39dd"	"CE10"
"SAMeaa477a5384b"	"CE10"
"SAM2eb07dedf07f"	"CE10"
"SAM95c70496ffb5"	"CE10"
"SAMb2e4a082541a"	"CE10"
"SAM727c0e92a2a7"	"CE10"
"SAM7fb7a13c096b"	"CE10"
"SAMef0e3d2415fd"	"CE10"
"SAM3b1066e5801b"	"CE10"
"SAMf20b827dca51"	"CE10"
"SAM1abf01dd4544"	"CE10"
"SAMc6eff056c89a"	"CE10"
"SAM8b4b8b0f9e73"	"CE10"
"SAM2de7cffb5f72"	"CE10"
