"ID"	"Carcinoma Ecotype"
"TCGA-B2-A4SR-01A"	"CE6"
"TCGA-BP-5184-01A"	"CE6"
"TCGA-B4-5844-01A"	"CE6"
"TCGA-A3-3349-01A"	"CE6"
"TCGA-B4-5378-01A"	"CE6"
"TCGA-G6-A8L6-01A"	"CE6"
"TCGA-CJ-4908-01A"	"CE6"
"TCGA-A3-A8OW-01A"	"CE6"
"TCGA-AK-3461-01A"	"CE6"
"TCGA-CZ-5987-11A"	"CE6"
"TCGA-BP-5010-01A"	"CE6"
"TCGA-A3-3376-01A"	"CE6"
"TCGA-B0-4945-01A"	"CE6"
"TCGA-B0-5695-01A"	"CE6"
"TCGA-B0-5712-11A"	"CE6"
"TCGA-B0-5690-01A"	"CE6"
"TCGA-CZ-5451-01A"	"CE6"
"TCGA-CJ-4899-01A"	"CE6"
"TCGA-MW-A4EC-01A"	"CE6"
"TCGA-CW-6088-01A"	"CE6"
"TCGA-B0-5691-01A"	"CE6"
"TCGA-BP-4789-01A"	"CE6"
"TCGA-BP-5176-01A"	"CE6"
"TCGA-CW-5583-01A"	"CE6"
"TCGA-BP-4999-01A"	"CE6"
"TCGA-AK-3460-01A"	"CE6"
"TCGA-BP-5008-01A"	"CE6"
"TCGA-EU-5904-01A"	"CE6"
"TCGA-A3-3362-01A"	"CE6"
"TCGA-B8-4620-11A"	"CE6"
"TCGA-BP-4332-01A"	"CE6"
"TCGA-BP-4355-01A"	"CE6"
"TCGA-BP-4349-01A"	"CE6"
"TCGA-B0-5110-01A"	"CE6"
"TCGA-B0-5691-11A"	"CE6"
"TCGA-CJ-4643-01A"	"CE6"
"TCGA-B0-5120-01A"	"CE6"
"TCGA-CZ-5470-11A"	"CE6"
"TCGA-BP-5006-01A"	"CE6"
"TCGA-CJ-4892-01A"	"CE6"
"TCGA-B8-A8YJ-01A"	"CE6"
"TCGA-BP-5186-01A"	"CE6"
"TCGA-B2-5636-01A"	"CE6"
"TCGA-B0-5100-01A"	"CE6"
"TCGA-BP-5194-01A"	"CE6"
"TCGA-B8-5165-01A"	"CE6"
"TCGA-BP-5192-01A"	"CE6"
"TCGA-B0-5119-01A"	"CE6"
"TCGA-A3-3380-01A"	"CE6"
"TCGA-B0-5700-01A"	"CE6"
